company,page,item,scope,method,start,duration,method_std,logistics_related,dup_line,start_q,open_from_q3_2026
MODEC,41,Replacement of Insulation System on Pressure Vessels and Piping,Continuation - Replacement of old (conventional) insulation system on pressure vessels and piping Equipment,Single Source,Q1 2026,TBC,Single or sole source,False,False,20261,False
MODEC,41,RBI conventional of pressure systems,RBI conventional of pressure systems,Single Source,Q1 2026,TBC,Single or sole source,False,False,20261,False
MODEC,41,Corrosion Under Insulation (CUI) Prevention / Mitigation Campaign - Labour,Corrosion Under Insulation (CUI) Prevention / Mitigation Campaign - Labour,Single Source,Q2 2026,TBC,Single or sole source,False,False,20262,False
MODEC,41,Hull / Tank- Repair & Maintenance,Hull / Tank- Repair & Maintenance,Competitive Tender,Q1 2026,TBC,Competitive tender,False,False,20261,False
MODEC,41,HAE Inspection,HAE Inspection,Single Source,Q1 2026,TBC,Single or sole source,False,False,20261,False
MODEC,41,Cargo. Slop and Ballast systems- Repair & Maintenance,Cargo. Slop and Ballast systems Repair & Maintenance,Competitive Tender,Q1 2026,TBC,Competitive tender,False,False,20261,False
MODEC,41,Power System - Repair & Maintenance,Power System - Repair & Maintenance,Competitive Tender,Q1 2026,TBC,Competitive tender,False,False,20261,False
MODEC,41,"Lube Oil, Grease and Solvent","Various lubricants needed to keep (HP, LP and MP) and other systems. running",Competitive Tender,Q1 2026,TBC,Competitive tender,False,False,20261,False
MODEC,41,"Continuation of Non-Intrusive Inspection of Pressure Vessels- Equipment Rentals, Labour, Mobilization","Continuation of Non-Intrusive Inspection of Pressure Vessels- Equipment Rentals, Labour, Mobilization",Single Source,Q1 2026,TBC,Single or sole source,False,False,20261,False
MODEC,41,HP Gas Comp (Gas Lift and Re-in)-Repair &Maintenance,HP Gas Comp (Gas Lift and Re-in)-Repair &Maintenance,Competitive Tender,Q1 2026,TBC,Competitive tender,False,False,20261,False
MODEC,41,Mechanical Seal for New Vacuum Pump Design,Mechanical Seal for New Vacuum Pump Design,Competitive Tender,Q1 2026,TBC,Competitive tender,False,False,20261,False
MODEC,41,LP Gas Comp-Repair & Maintenance,LP Gas Comp-Repair & Maintenance,Competitive Tender,Q1 2026,TBC,Competitive tender,False,False,20261,False
MODEC,41,Fabrication/ Welding Repair & Maintenance,Fabrication/ Welding Repair & Maintenance,Competitive Tender,Q1 2026,TBC,Competitive tender,False,False,20261,False
MODEC,41,Chemical Injection Sytem -Repair & Maintenance,"Procurement and overhaul of various injections pumps, motors, skids",Competitive Tender,Q1 2026,TBC,Competitive tender,False,False,20261,False
MODEC,42,Valves,"Replacement of various valves installed on the FPSO, and valves required for modification projects.",Competitive Tender,Q1 2026,TBC,Competitive tender,False,False,20261,False
MODEC,42,Pumps,Purchase of pumps and spares,Competitive Tender,Q1 2026,TBC,Competitive tender,False,False,20261,False
MODEC,42,Dresser-Rand Compressors,Supply of Spare Parts for Dresser-Rand Compressors,Competitive Tender,Q2 2026,TBC,Competitive tender,False,False,20262,False
MODEC,42,Cargo Handling and Storage,"Purchase of Hawser and Export hoses, and spare parts for oil metering skid flowmeter",Competitive Tender,Q1 2026,TBC,Competitive tender,True,False,20261,False
MODEC,42,Offshore Catering and Hospitality,Provision of Offshore Catering and Hospitality Services,Competitive Tender,Q2 2026,TBC,Competitive tender,False,False,20262,False
MODEC,42,Sulphate Removal Unit (SRU),SRU membranes replacement and other spare parts,Sole Source,Q2 2026,TBC,Single or sole source,False,False,20262,False
MODEC,42,Feasibility Studies & Detailed engineering studies,Feasibility Studies & Detailed engineering studies on proposed modifications and improvements on FPSO,Competitive Tender,Q1 2026,TBC,Competitive tender,False,False,20261,False
MODEC,42,"Valve repair, PSV calibration and certification","Repair, calibration, and recertification of various valves installed on FPSO",Single Source,Q1 2026,TBC,Single or sole source,False,False,20261,False
MODEC,42,Modification of Various Piping Systems,3D Scanning and Fabrication,Competitive Tender,Q1 2026,TBC,Competitive tender,False,False,20261,False
MODEC,42,Pressure Vessels Inspection,Pressure Vessels Inspection,Competitive Tender,Q1 2026,TBC,Competitive tender,False,False,20261,False
MODEC,42,Shutdown Activities,"Various scopes for annual shutdown- rigging, electrical services, autoclave servicing, maintenance of control systems and chemical hydraulic systems, UPS battery servicing etc…",Sole Source,Q1 2026,TBC,Single or sole source,False,False,20261,False
YINSON,43,Electrical Equipment & Instrumentation,"Supply of various electrical equipments and parts such as main circuit breakers, electric motors, pressure transmitters ..etc.",Competitive Tender,Q1 2026,TBC,Competitive tender,False,False,20261,False
YINSON,43,Deck Items,Marine Paint and Consumables,Competitive Tender,Q1 2026,TBC,Competitive tender,False,False,20261,False
YINSON,43,Safety Items,"Firefighting Equipment, Life Saving Appliances (spare parts for life boats), replacement of helideck mesh, extinguishers, oil spill consumables",Single Source,Q2 2026,TBC,Single or sole source,False,False,20262,False
YINSON,43,Piping Material (assorted),"Offshore Standard Piping Materials and fittings required for modification projects such as stainless,duplex and carbon steel piping, gaskets, flanges, elbows etc.",Competitive Tender,Q1 2026,TBC,Competitive tender,False,False,20261,False
YINSON,43,Valves,"Replacement of various valves installed on the FPSO, and valves required for modification projects.",Competitive Tender,Q1 2026,TBC,Competitive tender,False,False,20261,False
YINSON,43,Pumps,Purchase of pumps and spares,Competitive Tender,Q1 2026,TBC,Competitive tender,False,False,20261,False
YINSON,43,Dresser-Rand Compressors,Supply of Spare Parts for Dresser-Rand Compressors,Competitive Tender,Q1 2026,TBC,Competitive tender,False,False,20261,False
YINSON,43,Cargo Handling and Storage,"Purchase of Hawser and Export hoses, and spare parts for oil metering skid flowmeter",Competitive Tender,Q1 2026,TBC,Competitive tender,True,False,20261,False
YINSON,43,Offshore Catering and Hospitality,Provision of Offshore Catering and Hospitality Services,Competitive Tender,Q2 2026,TBC,Competitive tender,False,False,20262,False
YINSON,43,Sulphate Removal Unit (SRU),Fabrication/ Welding Repair & Maintenance,Sole Source,Q2 2026,TBC,Single or sole source,False,False,20262,False
YINSON,43,Feasibility Studies & Detailed engineering studies,Feasibility Studies & Detailed engineering studies on proposed modifications and improvements on FPSO,Single Source,Q1 2026,TBC,Single or sole source,False,False,20261,False
YINSON,43,"Valve repair, PSV calibration and certification","Repair, calibration, and recertification of various valves installed on FPSO",Competitive Tender,Q1 2026,TBC,Competitive tender,False,False,20261,False
YINSON,43,Modification of Various Piping Systems,3D Scanning and Fabrication,Competitive Tender,Q1 2026,TBC,Competitive tender,False,False,20261,False
YINSON,43,Pressure Vessels Inspection,Pressure Vessels Inspection,Competitive Tender,Q1 2026,TBC,Competitive tender,False,False,20261,False
YINSON,43,Shutdown Activities,"Various scopes for annual shutdown- rigging, electrical services, autoclave servicing, maintenance of control systems and chemical hydraulic systems, UPS battery servicing etc.",Sole Source,Q1 2026,TBC,Single or sole source,False,False,20261,False
GOS,44,Manpower Service,Manpower Service,Competitive Tender,Q1 2026,TBC,Competitive tender,False,False,20261,False
GOS,44,Downhole drilling tools and Service,Downhole drilling tools and Service,Competitive Tender,Q3 2026,TBC,Competitive tender,False,False,20263,True
GOS,44,Material handling equipment rental,Material handling equipment rental,Competitive Tender,Q3 2026,TBC,Competitive tender,False,False,20263,True
GOS,44,General MRO (parts and workshop consumables),General MRO (parts and workshop consumables),Competitive Tender,Q3 2026,TBC,Competitive tender,False,False,20263,True
GOS,44,Custom Clearance Service,Custom Clearance Service,Competitive Tender,Q2 2026,TBC,Competitive tender,False,False,20262,False
GOS,44,Offshore welding and fabrication services,Offshore welding and fabrication services,Competitive Tender,Q2 2026,TBC,Competitive tender,False,False,20262,False
GOS,44,"High pressure, high temperature well testing equipment","High pressure, high temperature well testing equipment",Competitive Tender,Q2 2026,TBC,Competitive tender,False,False,20262,False
GOS,44,Compressor rental,Compressor rental,Competitive Tender,Q2 2026,TBC,Competitive tender,False,False,20262,False
GOS,44,Liquid Nitrogen and tanks rental,Liquid Nitrogen and tanks rental,Single Source,Q1 2026,TBC,Single or sole source,False,False,20261,False
GNPC,45,Provision of Airborne Transient Pulse (ATP) on the Voltaian Basin project,Provision of Airborne Transient Pulse (ATP) on the Voltaian Basin project,Single Source,Q1 2026,12 Months,Single or sole source,False,False,20261,False
GNPC,45,Provision of Satellite Mapping on the Voltaian Basin project,Provision of Satellite Mapping on the Voltaian Basin project,Single Source,Q2 2026,12 Months,Single or sole source,False,False,20262,False
GNPC,45,Provision of Well Drilling Services on the Voltaian South Block,Provision of Well Drilling Services on the Voltaian South Block,Restricted Tendering,Q2 2026,12 Months,restricted tendering,False,False,20262,False
GNPC,45,Provision of Site Preparatory Services and Utilities on the Voltaian South Block,Provision of Site Preparatory Services and Utilities on the Voltaian South Block,Restricted Tendering,Q2 2026,12 Months,restricted tendering,False,False,20262,False
GNPC,45,Provision of Project Management Consutancy Services on the Voltaian South Block,Provision of Project Management Consutancy Services on the Voltaian South Block,Single Source,Q1 2026,6 Months,Single or sole source,False,False,20261,False
GNPC,45,Consultancy Services for Competent Persons Report (CPR) on the Voltaian Basin Project,Consultancy Services for Competent Persons Report (CPR) on the Voltaian Basin Project,Competitive Tender,Q2 2026,12 Months,Competitive tender,False,False,20262,False
GNPC,45,Consultancy Services for Feasibility Studies on Engineering Projects Marginal and Stranded Fields,Consultancy Services for Feasibility Studies on Engineering Projects Inline Inspection and Gas Export Manifold Life-Extension and Capacity Assessment,Restricted Tendering,Q3 2026,12 Months,restricted tendering,False,False,20263,True
GNPC,45,Consultancy Services for Feasibility Studies on Engineering Projects - Inline Inspection and Gas Export Manifold Life-Extension and Capacity Assessment,Consultancy Services for Feasibility Studies on Engineering Projects - Inline Inspection and Gas Export Manifold Life-Extension and Capacity Assessment,Restricted Tendering,Q3 2026,11 Months,restricted tendering,False,False,20263,True
GNPC,45,,Consultancy Services for Well Engineering Management (PMC),Competitive Tender,Q1 2026,6 Months,Competitive tender,False,False,20261,False
GNPC,45,Consultancy Services for Third-Party Verification for SFDP,Consultancy Services for Third-Party Verification for SFDP,Competitive Tender,Q2 2026,6 Months,Competitive tender,False,False,20262,False
