permit_no,contractor,permit_type,blocks,n_blocks,start_date,end_date,permit_type_std,group
PC/CPA/0000122/03-22R,Woodfields Upstream Limited,Contractor Party to Petroleum Agreement,Cape Theree Points Block 4,1,2022-03-27,2023-03-26,Contractor Party to Petroleum Agreement,WOODFIELDS
PC/CPA/0000124/11-22R,Heritage Exploration and Production Ghana Limited,Contractor Party to Petroleum Agreement,Offshore South West Tano,1,2022-11-28,2023-11-27,Contractor Party to Petroleum Agreement,HERITAGE
PC/CPA/0000125/12-22R,PetroSA Ghana Limited,Contractor Party to Petroleum Agreement,Deepwater Tano; West Cape Three Points,2,2022-12-10,2023-12-09,Contractor Party to Petroleum Agreement,PETROSA
PC/CPA/0000127/10-20R,Amni International Petroleum Development Company Limited,Contractor Party to Petroleum Agreement,Central Tano Block,1,2020-10-21,2021-10-20,Contractor Party to Petroleum Agreement,AMNI
PC/CPA/0000128/10-21R,Amni International Petroleum Development Company Limited,Contractor Party to Petroleum Agreement,Central Tano Block,1,2021-10-21,2022-10-20,Contractor Party to Petroleum Agreement,AMNI
PC/CPA/0000130/04-23R,Kosmos Energy Ghana HC,Contractor Party to Petroleum Agreement,Deepwater Tano; West Cape Three Points,2,2023-04-10,2024-04-09,Contractor Party to Petroleum Agreement,KOSMOS
PC/CPA/0000131/05-23,Kosmos Energy Ghana Investments,Contractor Party to Petroleum Agreement,Deepwater Tano; West Cape Three Points,2,2023-05-11,2024-05-10,Contractor Party to Petroleum Agreement,KOSMOS
PC/CPA/0000134/0623R,FT Exploration & Production Limited,Contractor Party to Petroleum Agreement,Deepwater Tano / Cape 3 Points,1,2023-06-19,2024-06-18,Contractor Party to Petroleum Agreement,FT EXPLORATION
PC/CPA/0000135/10-22R,Amni International Petroleum Development Company Limited,Contractor Party to Petroleum Agreement,Central Tano Block,1,2022-10-21,2023-10-20,Contractor Party to Petroleum Agreement,AMNI
PC/CPA/0000136/05-23R,Eni Ghana Exploration and Production Limited,Contractor Party to Petroleum Agreement,Cape Theree Points Block 4,1,2023-05-10,2024-05-09,Contractor Party to Petroleum Agreement,ENI
PC/CPA/0000137/01-23R,A-Z Petroleum Products Ghana Limited,Contractor Party to Petroleum Agreement,Deepwater Cape Threee Point West,1,2023-01-23,2024-01-22,Contractor Party to Petroleum Agreement,A-Z
PC/CPA/0000138/01-23R,Vitol Upstream Ghana Limited,Contractor Party to Petroleum Agreement,Offshore Cape Three Points,1,2023-01-19,2024-01-18,Contractor Party to Petroleum Agreement,VITOL
PC/CPA/0000139/04-23R,GOIL Upstream Limited,Contractor Party to Petroleum Agreement Certificate of Registration,Deepwater Cape Three Points,1,2023-04-03,2024-04-02,Contractor Party to Petroleum Agreement Certificate of Registration,GOIL
PC/CPA/0000140/0523R,Lukoil Overseas Ghana Tano Limited,Contractor Party to Petroleum Agreement,Deepwater Tano / Cape 3 Points,1,2023-05-24,2024-05-23,Contractor Party to Petroleum Agreement,LUKOIL
PC/CPA/0000141/03-23R,Woodfields Upstream Limited,Contractor Party to Petroleum Agreement,Cape Theree Points Block 4,1,2023-03-27,2024-03-26,Contractor Party to Petroleum Agreement,WOODFIELDS
PC/CPA/0000142/01-23R,Vitol Upstream Tano Limited,Contractor Party to Petroleum Agreement,Cape Theree Points Block 4,1,2023-01-21,2024-01-20,Contractor Party to Petroleum Agreement,VITOL
PC/CPA/0000143/10-23R,Amni International Petroleum Development Company Limited,Contractor Party to Petroleum Agreement,Central Tano Block,1,2023-10-21,2024-10-20,Contractor Party to Petroleum Agreement,AMNI
PC/CPA/0000145/01-23R,Base Energy Ghana Limited,Contractor Party to Petroleum Agreement,Expanded Shallow Water Tano,1,2023-01-23,2024-01-22,Contractor Party to Petroleum Agreement,BASE ENERGY
PC/CPA/0000146/12-23R,PetroSA Ghana Limited,Contractor Party to Petroleum Agreement,Deepwater Tano; West Cape Three Points,2,2023-12-10,2024-12-09,Contractor Party to Petroleum Agreement,PETROSA
PC/CPA/0000148/11-23R,Heritage Exploration and Production Ghana Limited,Contractor Party to Petroleum Agreement,Offshore South West Tano,1,2023-11-28,2024-11-27,Contractor Party to Petroleum Agreement,HERITAGE
PC/CPA/0000149/04-24,GNPC Exploration and Production Company Limited,Contractor Party to Petroleum Agreement,Cape Theree Points Block 4,1,2024-04-18,2025-04-17,Contractor Party to Petroleum Agreement,GNPC
PC/CPA/0000150/04-24,GNPC Exploration and Production Company Limited,Contractor Party to Petroleum Agreement,West Cape 3 Points Block 2,1,2024-04-18,2025-04-17,Contractor Party to Petroleum Agreement,GNPC
PC/CPA/0000151/04-24,GNPC Exploration and Production Company Limited,Contractor Party to Petroleum Agreement,Offshore South West Tano,1,2024-04-18,2025-04-17,Contractor Party to Petroleum Agreement,GNPC
