field,year,period,oil_bbl_d,gas_prod_mmscf_d,reinjected_mmscf_d,fuel_gas_mmscf_d,flared_mmscf_d,export_gngc_mmscf_d,export_to_ten_mmscf_d,import_from_jubilee_mmscf_d,assoc_gas_mmscf_d,nonassoc_gas_mmscf_d,sales_gas_mmscf_d,shutdown_flag,month,days_in_month,oil_bbl_month
TEN,2025,"June, 2025",16462.466666666667,151.87766666666667,120.75233333333334,10.523666666666665,20.066333333333333,0.535,,0.0,,,,False,2025-06-01,30,493874.0
TEN,2025,"July, 2025",16018.516129032258,150.99451612903226,132.12032258064517,9.933870967741935,5.650645161290322,3.289677419354839,,6.954193548387098,,,,False,2025-07-01,31,496574.0
TEN,2025,"August, 2025",16153.838709677419,150.61290322580646,126.51064516129033,10.369354838709677,5.210967741935484,8.521935483870967,,4.5361290322580645,,,,False,2025-08-01,31,500769.0
TEN,2025,"September, 2025",16028.4,148.23633333333333,123.25433333333334,9.744666666666665,5.884666666666666,9.352666666666666,,8.418333333333333,,,,False,2025-09-01,30,480852.0
TEN,2025,"October, 2025",15389.645161290322,148.37548387096774,139.31645161290325,10.408064516129032,6.702903225806451,1.2358064516129033,,9.287741935483872,,,,False,2025-10-01,31,477079.0
TEN,2025,"November, 2025",15020.966666666667,150.709,131.92,10.008000000000001,14.380333333333335,1.106,,6.705666666666667,,,,False,2025-11-01,30,450629.0
TEN,2025,"December, 2025",14843.806451612903,149.2767741935484,122.78064516129032,10.301935483870968,14.449032258064516,1.7451612903225806,,0.0,,,,False,2025-12-01,31,460158.0
OCTP,2025,"January, 2025",24806.824516129032,,84.15774193548387,9.661935483870968,50.163548387096775,,,,128.7558064516129,255.27774193548387,236.97548387096774,False,2025-01-01,31,769011.56
OCTP,2025,"February, 2025",22634.758928571428,,98.97821428571429,9.895357142857142,40.291785714285716,,,,118.86357142857142,206.17214285714286,173.6875,False,2025-02-01,28,633773.25
OCTP,2025,"March, 2025",24238.917096774196,,91.58935483870968,9.959354838709677,43.13741935483871,,,,120.66290322580646,266.55225806451614,239.38193548387096,False,2025-03-01,31,751406.43
OCTP,2025,"April, 2025",24555.330333333335,,111.23366666666668,10.247666666666667,27.115000000000002,,,,131.30133333333333,256.32666666666665,236.03966666666665,False,2025-04-01,30,736659.91
OCTP,2025,"May, 2025",25831.984516129032,,158.50322580645164,11.159354838709678,0.15612903225806452,,,,161.61870967741936,246.61354838709678,235.29387096774192,False,2025-05-01,31,800791.52
OCTP,2025,"June, 2025",24400.924666666666,,155.59666666666666,11.106333333333334,1.6466666666666667,,,,162.28866666666667,236.80233333333334,227.707,False,2025-06-01,30,732027.74
OCTP,2025,"July, 2025",24191.91,,155.77,11.037419354838711,1.5606451612903227,,,,158.9432258064516,250.8325806451613,237.3432258064516,False,2025-07-01,31,749949.21
OCTP,2025,"August, 2025",25028.30548387097,,130.3574193548387,10.673225806451613,5.811935483870967,,,,138.3425806451613,268.76612903225805,255.36516129032256,False,2025-08-01,31,775877.47
OCTP,2025,"September, 2025",25486.634333333335,,100.49666666666667,9.980666666666668,4.5040000000000004,,,,136.40633333333332,243.70833333333334,260.239,False,2025-09-01,30,764599.03
OCTP,2025,"October, 2025",27686.912580645163,,148.53096774193548,10.78516129032258,1.0464516129032257,,,,164.661935483871,248.56645161290325,248.00774193548386,False,2025-10-01,31,858294.29
OCTP,2025,"November, 2025",27663.219666666664,,148.94433333333333,10.729000000000001,0.44033333333333335,,,,165.47933333333333,254.76633333333334,255.23566666666665,False,2025-11-01,30,829896.59
OCTP,2025,"December, 2025",27552.613225806454,,130.84129032258065,10.619032258064516,0.9409677419354839,,,,165.06064516129032,247.0674193548387,264.8880645161291,False,2025-12-01,31,854131.01
JUBILEE,2024,"January, 2024",89390.54838709677,242.54677419354837,98.26741935483871,13.004193548387097,35.13967741935484,96.13516129032259,0.0,,,,,False,2024-01-01,31,2771107.0
JUBILEE,2024,"February, 2024",90656.24137931035,240.85655172413794,91.0773448275862,12.704137931034483,36.45941379310345,100.61555172413793,0.0,,,,,False,2024-02-01,29,2629031.0
JUBILEE,2024,"March, 2024",98592.03225806452,233.57064516129032,94.12290322580645,12.61774193548387,26.47935483870968,100.35064516129032,0.0,,,,,False,2024-03-01,31,3056353.0
JUBILEE,2024,"April, 2024",89329.83333333333,235.36133333333333,91.982,10.084666666666667,36.95,96.345,0.0,,,,,False,2024-04-01,30,2679895.0
JUBILEE,2024,"May, 2024",87042.87096774194,223.81806451612903,91.1774193548387,10.061935483870968,26.161935483870966,96.41709677419354,0.0,,,,,False,2024-05-01,31,2698329.0
JUBILEE,2024,"June, 2024",85676.83333333333,227.92133333333334,81.27,12.527999999999999,28.95266666666667,105.17066666666666,0.0,,,,,False,2024-06-01,30,2570305.0
JUBILEE,2024,"July, 2024",90534.12903225806,242.8183870967742,95.30483870967741,12.03225806451613,38.604193548387094,96.87741935483871,0.0,,,,,False,2024-07-01,31,2806558.0
JUBILEE,2024,"August, 2024",87676.6129032258,245.19032258064516,143.74645161290323,11.533225806451613,38.94967741935484,50.960967741935484,0.0,,,,,False,2024-08-01,31,2717975.0
JUBILEE,2024,"September, 2024",84611.53333333334,235.977,110.58733333333333,12.535,34.153,78.70166666666667,0.0,,,,,False,2024-09-01,30,2538346.0
JUBILEE,2024,"October, 2024",82664.12903225806,238.25838709677421,120.01064516129033,12.45774193548387,42.818709677419356,62.97129032258064,0.0,,,,,False,2024-10-01,31,2562588.0
JUBILEE,2024,"November, 2024",80136.26666666666,222.07333333333332,78.40766666666667,11.931999999999999,36.513000000000005,95.22033333333334,0.0,,,,,False,2024-11-01,30,2404088.0
JUBILEE,2024,"December, 2024",77886.16129032258,211.22967741935483,69.0341935483871,10.30483870967742,35.064516129032256,96.82612903225807,0.0,,,,,False,2024-12-01,31,2414471.0
TEN,2024,"January, 2024",18069.41935483871,155.0932258064516,137.73774193548385,9.91709677419355,7.438387096774194,0.0,,0.0,,,,False,2024-01-01,31,560152.0
TEN,2024,"February, 2024",18294.55172413793,156.15827586206896,132.82344827586206,9.703103448275861,12.940344827586205,0.6917241379310345,,0.0,,,,False,2024-02-01,29,530542.0
TEN,2024,"March, 2024",19382.548387096773,157.09645161290322,138.67451612903224,9.698709677419355,8.549354838709677,0.17387096774193547,,0.0,,,,False,2024-03-01,31,600859.0
TEN,2024,"April, 2024",19804.266666666666,158.30423333333334,134.1426,9.951166666666667,13.4947,0.7157833333333333,,0.0,,,,False,2024-04-01,30,594128.0
TEN,2024,"May, 2024",19143.645161290322,159.1274193548387,132.48774193548385,10.048064516129033,15.352903225806452,1.238709677419355,,0.0,,,,False,2024-05-01,31,593453.0
TEN,2024,"June, 2024",19043.7,160.41666666666666,135.55333333333334,10.056999999999999,14.169666666666666,0.637,,0.0,,,,False,2024-06-01,30,571311.0
TEN,2024,"July, 2024",18688.0967741935,160.685806451613,135.192258064516,9.92709677419355,14.958064516129031,0.6080645161290323,,0.0,,,,False,2024-07-01,31,579330.9999999985
TEN,2024,"August, 2024",18597.0,161.88451612903225,137.9874193548387,9.572258064516129,14.324838709677419,0.0,,0.0,,,,False,2024-08-01,31,576507.0
TEN,2024,"September, 2024",18096.933333333334,161.852,133.26666666666668,9.989666666666666,16.81566666666667,1.78,,0.0,,,,False,2024-09-01,30,542908.0
TEN,2024,"October, 2024",18329.8064516129,161.2109677419355,114.49451612903225,9.712258064516128,16.708064516129035,20.29612903225806,,0.0,,,,False,2024-10-01,31,568224.0
TEN,2024,"November, 2024",17438.833333333332,158.48966666666666,130.04566666666668,10.115666666666668,16.892,1.4363333333333335,,0.0,,,,False,2024-11-01,30,523164.99999999994
TEN,2024,"December, 2024",17543.870967741936,158.79322580645163,132.8783870967742,10.057419354838709,15.436451612903225,0.42064516129032253,,0.0,,,,False,2024-12-01,31,543860.0
OCTP,2024,"January, 2024",28543.143548387096,,85.30483870967741,9.610322580645162,49.60677419354838,,,,136.88741935483873,233.01225806451615,222.41225806451612,False,2024-01-01,31,884837.45
OCTP,2024,"February, 2024",27533.191724137934,,83.53655172413792,9.658620689655173,48.92413793103448,,,,133.12758620689655,240.7696551724138,228.71275862068967,False,2024-02-01,29,798462.56
OCTP,2024,"March, 2024",27822.557741935485,,83.80903225806452,9.849032258064517,50.42032258064516,,,,136.16225806451612,239.6451612903226,228.74193548387098,False,2024-03-01,31,862499.29
OCTP,2024,"April, 2024",27740.598666666665,,84.04266666666668,9.966666666666667,49.441,,,,135.47033333333334,246.95633333333333,235.90166666666667,False,2024-04-01,30,832217.96
OCTP,2024,"May, 2024",26764.979032258063,,83.61870967741935,9.925161290322581,40.5158064516129,,,,126.14354838709677,250.37451612903226,239.36483870967743,False,2024-05-01,31,829714.35
OCTP,2024,"June, 2024",26476.030333333336,,100.63966666666667,10.437000000000001,29.272333333333332,,,,128.16066666666669,254.49766666666667,239.16199999999998,False,2024-06-01,30,794280.91
OCTP,2024,"July, 2024",26912.88741935484,,160.45290322580644,11.41451612903226,0.3674193548387097,,,,129.97096774193548,285.4293548387097,240.09645161290322,False,2024-07-01,31,834299.51
OCTP,2024,"August, 2024",24926.896451612905,,105.27483870967743,10.271290322580645,0.0,,,,133.68709677419355,252.49225806451614,229.80967741935484,False,2024-08-01,31,772733.79
OCTP,2024,"September,2024",20485.374,,90.34733333333334,8.662666666666667,14.357666666666667,,,,113.77666666666667,166.46466666666666,164.83633333333333,False,2024-09-01,30,614561.22
OCTP,2024,"October, 2024",25554.547741935483,,150.9867741935484,11.120000000000001,0.7416129032258064,,,,155.77903225806452,196.1732258064516,186.7341935483871,False,2024-10-01,31,792190.98
OCTP,2024,"November, 2024",25867.815333333332,,132.40666666666667,10.908999999999999,13.780666666666667,,,,157.02033333333333,227.34833333333333,224.38500000000002,False,2024-11-01,30,776034.46
OCTP,2024,"December, 2024",26281.01806451613,,132.88516129032257,10.79225806451613,16.78806451612903,,,,158.1274193548387,246.4667741935484,241.02193548387098,False,2024-12-01,31,814711.56
